"1-1000483","21-1000483"
"1-1000484","21-1000484"
"1-1000485","21-1000485"
"1-1000486","21-1000486"
"1-1000487","21-1000487"
"1-1000488","21-1000488"
"1-1000489","21-1000489"
"1-1000490","21-1000490"
"1-1000491","21-1000491"
"1-1000492","21-1000492"
"1-1000493","21-1000493"
"1-1000494","21-1000494"
"1-1000495","21-1000495"
"1-1000496","21-1000496"
"1-1000497","21-1000497"
"1-1000498","21-1000498"
"1-1000499","21-1000499"
"1-1000500","21-1000500"
"1-1000501","21-1000501"
"1-1000502","21-1000502"
"1-1000503","21-1000503"
"1-1000504","21-1000504"
"1-1000505","21-1000505"
"1-1000506","21-1000506"
"1-1000507","21-1000507"
"1-1000508","21-1000508"
"1-1000509","21-1000509"
"1-1000510","21-1000510"
"1-1000511","21-1000511"
"1-1000512","21-1000512"
"1-1000513","21-1000513"
"1-1000514","21-1000514"
"1-1000515","21-1000515"
"1-1000516","21-1000516"
"1-1000517","21-1000517"
"1-1000518","21-1000518"
"1-1000519","21-1000519"
"1-1000520","21-1000520"
"1-1000521","21-1000521"
"1-1000522","21-1000522"
"1-1000523","21-1000523"
"1-1000524","21-1000524"
"1-1000525","21-1000525"
"1-1000526","21-1000526"
"1-1000527","21-1000527"
"1-1000528","21-1000528"
"1-1000529","21-1000529"
"1-1000530","21-1000530"
"1-1000531","21-1000531"
"1-1000532","21-1000532"
"1-1000533","21-1000533"
"1-1000534","21-1000534"
"1-1000535","21-1000535"
"1-1000536","21-1000536"
"1-1000537","21-1000537"
"1-1000538","21-1000538"
"1-1000539","21-1000539"
"1-1000540","21-1000540"
"1-1000541","21-1000541"
"1-1000542","21-1000542"
"1-1000543","21-1000543"
"1-1000544","21-1000544"
"1-1000545","21-1000545"
"1-1000546","21-1000546"
"1-1000547","21-1000547"
"1-1000548","21-1000548"
"1-1000549","21-1000549"
"1-1000550","21-1000550"
"1-1000551","21-1000551"
"1-1000552","21-1000552"
"1-1000553","21-1000553"
"1-1000554","21-1000554"
"1-1000555","21-1000555"
"1-1000556","21-1000556"
"1-1000557","21-1000557"
"1-1000558","21-1000558"
"1-1000559","21-1000559"
"1-1000560","21-1000560"
"1-1000561","21-1000561"
"1-1000562","21-1000562"
"1-1000563","21-1000563"
"1-1000564","21-1000564"
"1-1000565","21-1000565"
"1-1000566","21-1000566"
"1-1000567","21-1000567"
"1-1000568","21-1000568"
"1-1000569","21-1000569"
"1-1000570","21-1000570"
"1-1000571","21-1000571"
"1-1000572","21-1000572"
"1-1000573","21-1000573"
"1-1000574","21-1000574"
"1-1000575","21-1000575"
"1-1000576","21-1000576"
"1-1000577","21-1000577"
"1-1000578","21-1000578"
"1-1000579","21-1000579"
"1-1000580","21-1000580"
"1-1000581","21-1000581"
"1-1000582","21-1000582"
"1-1000583","21-1000583"
"1-1000584","21-1000584"
"1-1000585","21-1000585"
"1-1000586","21-1000586"
"1-1000587","21-1000587"
"1-1000588","21-1000588"
"1-1000589","21-1000589"
"1-1000590","21-1000590"
"1-1000591","21-1000591"
"1-1000592","21-1000592"
"1-1000593","21-1000593"
"1-1000594","21-1000594"
"1-1000595","21-1000595"
"1-1000596","21-1000596"
"1-1000597","21-1000597"
"1-1000598","21-1000598"
"1-1000599","21-1000599"
"1-1000600","21-1000600"
"1-1000601","21-1000601"
"1-1000602","21-1000602"
"1-1000603","21-1000603"
"1-1000604","21-1000604"
"1-1000605","21-1000605"
"1-1000606","21-1000606"
"1-1000607","21-1000607"
"1-1000608","21-1000608"
"1-1000609","21-1000609"
"1-1000610","21-1000610"
"1-1000611","21-1000611"
"1-1000612","21-1000612"
"1-1000613","21-1000613"
"1-1000614","21-1000614"
"1-1000615","21-1000615"
"1-1000616","21-1000616"
"1-1000617","21-1000617"
"1-1000618","21-1000618"
"1-1000619","21-1000619"
"1-1000620","21-1000620"
"1-1000621","21-1000621"
"1-1000622","21-1000622"
"1-1000623","21-1000623"
"1-1000624","21-1000624"
"1-1000625","21-1000625"
"1-1000626","21-1000626"
"1-1000627","21-1000627"
"1-1000628","21-1000628"
"1-1000629","21-1000629"
"1-1000630","21-1000630"
"1-1000631","21-1000631"
"1-1000632","21-1000632"
"1-1000633","21-1000633"
"1-1000634","21-1000634"
"1-1000635","21-1000635"
"1-1000636","21-1000636"
"1-1000637","21-1000637"
"1-1000638","21-1000638"
"1-1000639","21-1000639"
"1-1000640","21-1000640"
"1-1000641","21-1000641"
"1-1000642","21-1000642"
"1-1000643","21-1000643"
"1-1000644","21-1000644"
"1-1000645","21-1000645"
"1-1000646","21-1000646"
"1-1000647","21-1000647"
"1-1000648","21-1000648"
"1-1000649","21-1000649"
"1-1000650","21-1000650"
"1-1000651","21-1000651"
"1-1000652","21-1000652"
"1-1000653","21-1000653"
"1-1000654","21-1000654"
"1-1000655","21-1000655"
"1-1000656","21-1000656"
"1-1000657","21-1000657"
"1-1000658","21-1000658"
"1-1000659","21-1000659"
"1-1000660","21-1000660"
"1-1000661","21-1000661"
"1-1000662","21-1000662"
"1-1000663","21-1000663"
"1-1000664","21-1000664"
"1-1000665","21-1000665"
"1-1000666","21-1000666"
"1-1000667","21-1000667"
"1-1000668","21-1000668"
"1-1000669","21-1000669"
"1-1000670","21-1000670"
"1-1000671","21-1000671"
"1-1000672","21-1000672"
"1-1000673","21-1000673"
"1-1000674","21-1000674"
"1-1000675","21-1000675"
"1-1000676","21-1000676"
"1-1000677","21-1000677"
"1-1000678","21-1000678"
"1-1000679","21-1000679"
"1-1000680","21-1000680"
"1-1000681","21-1000681"
"1-1000682","21-1000682"
"1-1000683","21-1000683"
"1-1000684","21-1000684"
"1-1000685","21-1000685"
"1-1000686","21-1000686"
"1-1000687","21-1000687"
"1-1000688","21-1000688"
"1-1000689","21-1000689"
"1-1000690","21-1000690"
"1-1000691","21-1000691"
"1-1000692","21-1000692"
"1-1000693","21-1000693"
"1-1000694","21-1000694"
"1-1000695","21-1000695"
"1-1000696","21-1000696"
"1-1000697","21-1000697"
"1-1000698","21-1000698"
"1-1000699","21-1000699"
"1-1000700","21-1000700"
"1-1000701","21-1000701"
"1-1000702","21-1000702"
